open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1670284800000,1258.67,1267.00,1258.64,1265.89,150321.693,1670288399999,189780015.13169,81642,81518.870,102929492.49449,0
1670288400000,1265.90,1269.60,1262.46,1262.87,131132.754,1670291999999,166014786.48597,73710,56397.416,71417054.81869,0
1670292000000,1262.87,1266.77,1262.70,1264.65,77770.302,1670295599999,98363674.78724,50872,40359.543,51050094.39770,0
1670295600000,1264.64,1268.10,1260.00,1261.02,106710.312,1670299199999,134898582.37733,60839,45276.465,57261854.75222,0
1670299200000,1261.02,1262.06,1256.14,1260.51,112200.460,1670302799999,141354832.70292,67726,51104.634,64389274.06334,0
1670302800000,1260.51,1260.76,1255.02,1256.20,83561.486,1670306399999,105102792.04353,55881,38640.809,48602286.03693,0
1670306400000,1256.20,1261.77,1253.58,1260.17,106207.047,1670309999999,133696646.03703,65078,55713.404,70145696.50188,0
1670310000000,1260.17,1262.66,1257.20,1259.63,84255.783,1670313599999,106185662.81830,54255,43363.022,54658878.40181,0
1670313600000,1259.63,1264.78,1255.00,1262.09,179951.795,1670317199999,226841394.13145,102656,94096.543,118625900.74946,0
1670317200000,1262.09,1262.33,1254.16,1255.25,142349.402,1670320799999,179045998.50001,76876,64531.072,81169249.93513,0
1670320800000,1255.24,1257.78,1247.68,1251.90,259792.427,1670324399999,325332437.47251,139180,120478.777,150898007.89177,0
1670324400000,1251.90,1256.67,1240.55,1255.61,285637.368,1670327999999,357342187.57041,142498,132578.158,165955690.89514,0
1670328000000,1255.61,1259.59,1254.13,1257.26,142774.415,1670331599999,179478007.64436,78738,72296.191,90885971.52922,0
1670331600000,1257.26,1261.74,1252.55,1253.42,164873.585,1670335199999,207251976.21285,95762,77676.931,97665761.26951,0
1670335200000,1253.42,1258.88,1248.22,1250.50,259843.354,1670338799999,325701408.41349,136331,130310.857,163365388.25488,0
1670338800000,1250.50,1256.70,1244.16,1253.79,373231.162,1670342399999,466915041.67290,179896,186206.771,232980022.43250,0
1670342400000,1253.80,1258.76,1252.60,1254.40,157699.116,1670345999999,198020420.31806,83904,81060.125,101792890.16751,0
1670346000000,1254.39,1256.11,1248.38,1251.08,163120.927,1670349599999,204136103.62811,88789,76638.938,95912222.75747,0
1670349600000,1251.07,1253.10,1244.09,1248.54,218728.458,1670353199999,273170396.01328,109123,107374.169,134121996.70340,0
1670353200000,1248.53,1250.28,1241.02,1249.58,194132.566,1670356799999,241920049.85967,105542,96298.259,120021098.15091,0
1670356800000,1249.57,1255.00,1247.00,1252.56,142808.555,1670360399999,178609017.25168,71755,76718.085,95963762.79870,0
1670360400000,1252.56,1256.57,1251.14,1255.36,85373.091,1670363999999,107036465.98417,50240,47899.622,60063224.44935,0
1670364000000,1255.36,1255.85,1251.43,1252.30,53645.876,1670367599999,67268455.87087,33065,21490.342,26946620.24192,0
1670367600000,1252.30,1274.42,1252.29,1270.72,418512.467,1670371199999,530093064.19410,222364,224851.186,284732679.59878,0
1670371200000,1270.72,1278.30,1266.06,1268.16,252368.202,1670374799999,320668890.98132,140925,126438.692,160693200.15290,0
1670374800000,1268.16,1269.77,1262.24,1264.60,149936.535,1670378399999,189708730.96803,84057,74404.282,94147468.58526,0
1670378400000,1264.61,1267.63,1263.17,1265.00,78227.090,1670381999999,98994239.48642,46802,41206.632,52146059.98681,0
1670382000000,1265.00,1265.00,1258.00,1261.58,100438.925,1670385599999,126691878.65880,59791,43511.589,54886061.00637,0
1670385600000,1261.58,1264.38,1260.21,1262.81,87711.505,1670389199999,110686539.14709,49968,44258.562,55856393.94977,0
1670389200000,1262.81,1263.14,1257.87,1259.73,94063.001,1670392799999,118549325.53030,51887,46849.253,59047956.88123,0
1670392800000,1259.74,1260.20,1247.00,1249.76,262502.470,1670396399999,329088426.44962,131982,116080.620,145530651.39458,0
1670396400000,1249.76,1250.72,1217.56,1223.73,855495.861,1670399999999,1053393870.81224,409615,384261.265,473131078.91432,0
1670400000000,1223.72,1230.00,1217.02,1228.30,352577.372,1670403599999,431909748.52147,183122,173864.688,213008352.76404,0
1670403600000,1228.30,1230.33,1226.06,1230.09,133352.639,1670407199999,163765564.21261,80449,65048.597,79890117.81486,0
1670407200000,1230.10,1230.10,1224.84,1229.30,133711.207,1670410799999,164124366.20795,70774,57353.201,70407140.45642,0
1670410800000,1229.30,1229.54,1222.00,1224.15,127689.322,1670414399999,156571766.23921,76049,55938.449,68597453.40855,0
1670414400000,1224.14,1226.67,1220.00,1223.88,173945.458,1670417999999,212854758.50775,87659,85742.001,104927316.47391,0
1670418000000,1223.88,1234.70,1223.35,1232.19,295952.743,1670421599999,364186501.30697,145483,158252.463,194728095.12396,0
1670421600000,1232.18,1239.50,1230.99,1232.65,277571.132,1670425199999,342658502.59540,136127,139052.598,171684562.62652,0
1670425200000,1232.65,1235.54,1227.00,1233.19,281186.504,1670428799999,346229536.13384,129124,133411.718,164293604.76265,0
1670428800000,1233.20,1234.91,1226.16,1228.93,191372.514,1670432399999,235500634.83658,95818,84837.024,104402084.02266,0
1670432400000,1228.94,1232.66,1227.22,1230.35,90137.998,1670435999999,110856086.24041,55845,52194.299,64193910.82804,0
1670436000000,1230.34,1237.19,1228.33,1228.34,141134.926,1670439599999,173990385.46679,76005,68964.731,85036023.92713,0
1670439600000,1228.33,1233.25,1227.27,1231.42,113749.484,1670443199999,139959949.45759,61609,55249.381,67985399.80557,0
1670443200000,1231.44,1234.49,1228.71,1231.21,73104.473,1670446799999,90034407.87576,44274,33280.961,40989313.16203,0
1670446800000,1231.21,1232.96,1228.36,1231.91,69283.835,1670450399999,85265955.66685,42557,33029.921,40651613.96857,0
1670450400000,1231.91,1231.91,1220.54,1229.59,149449.565,1670453999999,183396728.13295,80941,72270.126,88711343.39247,0
1670454000000,1229.59,1234.36,1228.34,1230.83,113490.745,1670457599999,139798393.57301,66057,54379.511,66992394.44866,0
1670457600000,1230.78,1236.49,1226.00,1226.66,159525.393,1670461199999,196472419.15051,82575,73834.191,90963337.81233,0
1670461200000,1226.66,1229.90,1221.00,1226.64,189731.940,1670464799999,232475325.12417,100672,101430.201,124301038.69437,0
1670464800000,1226.63,1238.91,1225.62,1232.44,189420.566,1670468399999,233477997.31247,106390,101463.269,125052951.95716,0
1670468400000,1232.44,1235.60,1230.24,1231.30,92262.906,1670471999999,113768924.26534,58461,44580.866,54979609.92773,0
1670472000000,1231.30,1232.39,1225.69,1227.47,109498.065,1670475599999,134514294.16742,63491,52032.968,63922382.54735,0
1670475600000,1227.46,1229.06,1225.17,1228.12,86092.253,1670479199999,105654134.53372,49007,40682.843,49927885.17431,0
1670479200000,1228.21,1229.49,1224.00,1228.26,95854.621,1670482799999,117592667.96428,56832,44457.998,54544365.26010,0
